config,n_free,N,num_points,L,run,seed,train_data_seed,test_data_seed,test_rel_error,test_abs_error,test_loss,train_loss,epochs_run,stopping_reason,train_time
mu,1,16,5,4,1,101,201,301,0.0022744094133377076,0.003961071133613586,2.837703307159245e-05,9.95093955680204e-07,139,stopping_threshold,0.18013237899867818
mu,1,16,5,4,2,102,202,302,0.0020348391085863115,0.0034663764238357544,2.0901680807583034e-05,9.994554375225562e-07,1515,stopping_threshold,1.9548985400178935
mu,1,16,5,4,3,103,203,303,0.003786813795566559,0.006845178365707397,6.473092781379819e-05,9.672190208220854e-05,2000,max_epochs,2.5481277039798442
mu,1,16,5,4,4,104,204,304,0.017191908955574035,0.02116003727912903,0.0017451191991567612,9.993126468543778e-07,446,stopping_threshold,0.5660618900146801
mu,1,16,5,4,5,105,205,305,0.002668802559375763,0.004016289740800857,3.5507956985384225e-05,9.929498219207744e-07,374,stopping_threshold,0.4767638510093093
mu,1,16,5,4,6,106,206,306,0.019927643775939943,0.03249311375617981,0.0013158546984195709,0.0004774181288667023,2000,max_epochs,2.544220106006833
mu,1,16,5,8,0,100,200,300,0.0036017381846904753,0.006121869087219238,6.877206731587649e-05,3.349320877532591e-06,2000,max_epochs,2.532748432015069
mu,1,16,5,8,1,101,201,301,0.002379379764199257,0.004003677189350128,2.8917253715917468e-05,9.980237791751279e-07,553,stopping_threshold,0.7002554390055593
mu,1,16,5,8,2,102,202,302,0.00238064968585968,0.003885491669178009,2.808194630779326e-05,9.983119753087522e-07,335,stopping_threshold,0.4238546259875875
mu,1,16,5,8,3,103,203,303,0.005859170436859131,0.011654851913452148,0.00016754375211894512,6.366908928612247e-05,2000,max_epochs,2.534730451996438
mu,1,16,5,8,4,104,204,304,0.01809651005268097,0.02228866243362427,0.0019217584729194642,9.978800790122477e-07,696,stopping_threshold,0.8839763510040939
mu,1,16,5,8,5,105,205,305,0.0026285460889339447,0.004237715005874634,3.296792274340987e-05,9.997468168876367e-07,1557,stopping_threshold,1.9801099660107866
mu,1,16,5,8,6,106,206,306,0.004649767071008682,0.006337236523628235,0.0001066855015233159,5.991115813230863e-06,2000,max_epochs,2.543554302013945
mu,1,16,10,1,0,100,200,300,0.004430634021759033,0.009979547023773194,0.00018828625604510308,5.095108917885227e-06,2000,max_epochs,2.572585912013892
mu,1,16,10,1,1,101,201,301,0.005138244152069092,0.009757042050361634,0.00012196067534387112,3.5575125366449356e-05,2000,max_epochs,2.5649743740214035
mu,1,16,10,1,2,102,202,302,0.0028129238188266755,0.004185883343219757,4.3829414993524554e-05,4.701233592641074e-06,2000,max_epochs,2.56667077698512
mu,1,16,10,1,3,103,203,303,0.010347164511680603,0.02196184825897217,0.0005924888774752617,0.0004294400569051504,2000,max_epochs,2.5682890200114343
mu,1,16,10,1,4,104,204,304,0.004193243533372879,0.00571979147195816,9.658200293779373e-05,1.3831457181368023e-05,2000,max_epochs,2.566843684995547
mu,1,16,10,1,5,105,205,305,0.0026639179587364197,0.004259139955043793,3.5406457725912335e-05,2.651677732501412e-06,2000,max_epochs,2.559371138981078
mu,1,16,10,1,6,106,206,306,0.0038969144225120544,0.005876033842563629,7.382732909172773e-05,3.757168542506406e-06,2000,max_epochs,2.573172111005988
mu,1,16,10,2,0,100,200,300,0.004257198125123977,0.009505251109600068,0.0001665498884394765,6.670315542578464e-06,2000,max_epochs,2.542474174988456
mu,1,16,10,2,1,101,201,301,0.002895449012517929,0.004975274860858917,4.5358856674283746e-05,2.202821633545682e-06,2000,max_epochs,2.5528298289864324
mu,1,16,10,2,2,102,202,302,0.0023873652219772337,0.0037280895709991455,3.0361569253727794e-05,3.8961193240538705e-06,2000,max_epochs,2.542853627994191
mu,1,16,10,2,3,103,203,303,0.004322207897901535,0.006254363119602204,8.822798449546099e-05,3.5381387988309143e-06,2000,max_epochs,2.5442004990181886
mu,1,16,10,2,4,104,204,304,0.013027652978897094,0.026481187105178834,0.0008174735084176064,0.0007831340772099793,2000,max_epochs,2.5810514370095916
mu,1,16,10,2,5,105,205,305,0.002848462611436844,0.004415373504161835,4.225038830190897e-05,2.9457091841322836e-06,2000,max_epochs,2.5782621930120513
mu,1,16,10,2,6,106,206,306,0.0035318803191184997,0.005623398900032044,5.750938644632697e-05,6.9971210905350745e-06,2000,max_epochs,2.5837464910000563
mu,1,16,10,3,0,100,200,300,0.004863718330860138,0.0112048077583313,0.00025063774921000004,4.477134552871576e-06,2000,max_epochs,2.5832120300037786
mu,1,16,10,3,1,101,201,301,0.0027794981598854066,0.00483191442489624,4.1855784598737954e-05,2.7857522582053207e-06,2000,max_epochs,2.595842459006235
mu,1,16,10,3,2,102,202,302,0.0033684427738189695,0.0047540546655654905,6.846862286329269e-05,4.2025621951324865e-06,2000,max_epochs,2.5873275640187785
mu,1,16,10,3,3,103,203,303,0.004040530443191528,0.005992235243320465,7.492734678089619e-05,0.0001476718607591465,2000,max_epochs,2.579069729981711
mu,1,16,10,3,4,104,204,304,0.025253931760787964,0.04757661199569702,0.0023629682064056396,0.0011752842692658305,2000,max_epochs,2.563997476012446
mu,1,16,10,3,5,105,205,305,0.002424465298652649,0.003956353485584259,2.878425712697208e-05,3.005995949934004e-06,2000,max_epochs,2.5303793659841176
