skew_weight,d,N,L,run,test_rel_error,test_abs_error,train_loss,epochs_run,stopping_reason
0.0,3,128,4,2,0.00043064361065626143,0.0007725885113080343,7.716899172010017e-07,9601,stopping_threshold
0.0,3,128,8,0,0.0004919529532392819,0.0009032752911249796,9.83083942628582e-07,6211,stopping_threshold
0.0,3,128,8,1,0.0004137467270096143,0.0007483895023663839,8.919102851905336e-07,12585,stopping_threshold
0.0,3,128,8,2,0.00044526890168587366,0.0007828903794288635,9.482254572503734e-07,8446,stopping_threshold
0.0,3,256,1,0,0.006357986688613892,0.01012842583656311,0.00012250041251536458,15000,max_epochs
0.0,3,256,1,1,0.0064551922082901,0.0112512313524882,0.00015520683070644736,15000,max_epochs
0.0,3,256,1,2,0.013123762448628744,0.02578685776392619,0.0006961731370538473,15000,max_epochs
0.0,3,256,2,0,0.00035814220706621805,0.0007102640668551128,9.632574292481876e-07,5062,stopping_threshold
0.0,3,256,2,1,0.0004309042990207672,0.0007732879320780437,9.690646984381602e-07,5626,stopping_threshold
0.0,3,256,2,2,0.0005568075329065323,0.0010646580656369527,9.937410586644545e-07,5360,stopping_threshold
0.0,3,256,3,0,0.00045274330178896586,0.0008104355533917745,8.395605268560757e-07,4882,stopping_threshold
0.0,3,256,3,1,0.000565438653031985,0.0010419071118036906,7.394365379695955e-07,9290,stopping_threshold
0.0,3,256,3,2,0.00041811197996139527,0.0007744507590929667,8.659006357447652e-07,6319,stopping_threshold
0.0,3,256,4,0,0.0004618965511520704,0.0008025167783101399,9.034386584971799e-07,9331,stopping_threshold
0.0,3,256,4,1,0.0004496380239725113,0.0008317514459292094,9.202559026562085e-07,6410,stopping_threshold
0.0,3,256,4,2,0.00039140735814968745,0.0006957468787829081,8.006998968994594e-07,6056,stopping_threshold
0.0,3,256,8,0,0.0004854522595802943,0.0009117631713549296,9.792343726076068e-07,5240,stopping_threshold
0.0,3,256,8,1,0.00045269788304964703,0.0008313425183296203,9.924263176799287e-07,11398,stopping_threshold
0.0,3,256,8,2,0.00038423926134904227,0.0007213758627573649,9.87723573416588e-07,8372,stopping_threshold
0.0,3,1024,1,0,0.005867856899897258,0.009642947435379029,0.00013241803110577166,15000,max_epochs
0.0,3,1024,1,1,0.005726567208766937,0.009707879066467286,0.00012900449603330344,15000,max_epochs
0.0,3,1024,1,2,0.008803626616795858,0.016121126333872478,0.0002549304042477161,15000,max_epochs
0.0,3,1024,2,0,0.0004284906908869743,0.0007903225421905518,9.450859156459046e-07,5559,stopping_threshold
0.0,3,1024,2,1,0.000403602493306001,0.0007424286802609762,9.862713859547512e-07,7263,stopping_threshold
0.0,3,1024,2,2,0.00035606474926074347,0.0006703653335571289,7.025175109447446e-07,7246,stopping_threshold
0.0,3,1024,3,0,0.0004892437184850375,0.000857684592405955,9.501310023551923e-07,3922,stopping_threshold
