config,d,N,L,run,test_rel_error,test_abs_error,train_loss,epochs_run,stopping_reason
mu,1,128,8,0,0.0007187844415505,0.0012127990523974,2.538774779168307e-06,8000,max_epochs
mu,1,128,8,1,0.002517985065778,0.0051227779388427,4.146103544917423e-05,8000,max_epochs
mu,1,128,8,2,0.0060737771987915,0.0123876554965972,0.0001139655908336,8000,max_epochs
mu,1,1024,0,0,0.2840309626261393,0.4994603093465169,0.3342726728916168,8000,max_epochs
mu,1,1024,0,1,0.2885149014790852,0.5058456802368164,0.3370585634708404,8000,max_epochs
mu,1,1024,0,2,0.2880467389424642,0.5008930206298828,0.3137496018409729,8000,max_epochs
mu,1,1024,1,0,0.000410709383587,0.0007814462184906,9.88022577985248e-07,102,stopping_threshold
mu,1,1024,1,1,0.0004803173144658,0.0008424340089162,9.909783334478562e-07,164,stopping_threshold
mu,1,1024,1,2,0.0004344434961676,0.0008261020580927,9.868421675491846e-07,101,stopping_threshold
mu,1,1024,2,0,0.0004384038721521,0.0007616964578628,9.828484817262506e-07,91,stopping_threshold
mu,1,1024,2,1,0.000455217624704,0.000733457605044,9.951858423846717e-07,46,stopping_threshold
mu,1,1024,2,2,0.0004948895573616,0.0007931046088536,9.91812446500262e-07,135,stopping_threshold
mu,1,1024,3,0,0.0004440948441624,0.0007482667366663,9.843360057857354e-07,85,stopping_threshold
mu,1,1024,3,1,0.0004469846238692,0.0007578713099161,9.47954551975272e-07,63,stopping_threshold
mu,1,1024,3,2,0.0004739848971366,0.0008651576042175,9.875826758616314e-07,137,stopping_threshold
mu,1,1024,4,0,0.0004319528018434,0.000820002357165,9.925743793246512e-07,140,stopping_threshold
mu,1,1024,4,1,0.0004592778608202,0.0007759454250335,9.936279366229428e-07,71,stopping_threshold
mu,1,1024,4,2,0.0004377215653657,0.000833169778188,9.981697503462785e-07,264,stopping_threshold
mu,1,1024,8,0,0.0004318534533182,0.0007664314111073,9.83749247097876e-07,81,stopping_threshold
mu,1,1024,8,1,0.000432749249041,0.0008013665278752,9.465062194067288e-07,176,stopping_threshold
mu,1,1024,8,2,0.0004909349655111,0.000791679461797,9.921308069351654e-07,129,stopping_threshold
mu+sig,2,128,0,0,0.2843382848103841,0.4999103622436523,0.3344347808361053,8000,max_epochs
mu+sig,2,128,0,1,0.2879922726949056,0.5052583974202474,0.3365656795501709,8000,max_epochs
mu+sig,2,128,0,2,0.287770751953125,0.5011366704305013,0.3140216302871704,8000,max_epochs
mu+sig,2,128,1,0,0.0038115157882372,0.0069483111699422,7.4851353187114e-05,8000,max_epochs
mu+sig,2,128,1,1,0.0048335345387458,0.0091095696687698,0.0001151975957909,8000,max_epochs
mu+sig,2,128,1,2,0.0034772565762201,0.0061786009470621,7.434962526895105e-05,8000,max_epochs
mu+sig,2,128,2,0,0.0004195410311222,0.0008387767275174,9.747120793690557e-07,6560,stopping_threshold
mu+sig,2,128,2,1,0.0004261196727554,0.0007937656641006,9.87080992672418e-07,4259,stopping_threshold
mu+sig,2,128,2,2,0.0004479162072141,0.0008344239592552,9.945622905433994e-07,4577,stopping_threshold
mu+sig,2,128,3,0,0.0003945913339654,0.0007427047689755,8.495525194121001e-07,2514,stopping_threshold
mu+sig,2,128,3,1,0.000371544038256,0.0007544062534968,9.918417754306574e-07,3696,stopping_threshold
mu+sig,2,128,3,2,0.0005049996177355,0.000943596680959,8.979452859421145e-07,7194,stopping_threshold
mu+sig,2,128,4,0,0.0003744373867909,0.0007301712830861,9.618580102142004e-07,4509,stopping_threshold
mu+sig,2,128,4,1,0.0004407528564333,0.0008406873146692,9.917948646034347e-07,6182,stopping_threshold
mu+sig,2,128,4,2,0.0004151557510097,0.00082108126084,9.994464930969117e-07,4801,stopping_threshold
mu+sig,2,128,8,0,0.0004275869304935,0.0008366087873776,9.888926724670456e-07,5051,stopping_threshold
mu+sig,2,128,8,1,0.0040318638086318,0.0089325135151545,0.0001251125482376,8000,max_epochs
mu+sig,2,128,8,2,0.0004174039413531,0.0007868747313817,9.513971122032672e-07,3808,stopping_threshold
mu+sig,2,1024,0,0,0.2834036076863607,0.4990474039713541,0.3327856588363647,8000,max_epochs
mu+sig,2,1024,0,1,0.2880100987752279,0.5055228042602539,0.336239773273468,8000,max_epochs
mu+sig,2,1024,0,2,0.2871942774454752,0.5004696375528971,0.313774667263031,8000,max_epochs
mu+sig,2,1024,1,0,0.0041191651821136,0.0078442769447962,0.0001150104157859,8000,max_epochs
mu+sig,2,1024,1,1,0.0047649093468983,0.0089762658675511,0.0001120921078836,8000,max_epochs
mu+sig,2,1024,1,2,0.0048553512891133,0.0091857592264811,0.0001108509667101,8000,max_epochs
mu+sig,2,1024,2,0,0.0003495841498176,0.0007274466753005,9.777850054888404e-07,6033,stopping_threshold
mu+sig,2,1024,2,1,0.0004248882556955,0.0007791601419448,9.392683232363196e-07,3198,stopping_threshold
mu+sig,2,1024,2,2,0.0003989355539282,0.0008084057966868,9.936870474120951e-07,3904,stopping_threshold
mu+sig,2,1024,3,0,0.0004558775375286,0.0008571462233861,9.804342453207936e-07,2829,stopping_threshold
mu+sig,2,1024,3,1,0.0003943140755097,0.0008024435440699,9.292348267990746e-07,3791,stopping_threshold
mu+sig,2,1024,3,2,0.0009559825559457,0.00166282025973,3.910358287976124e-05,8000,max_epochs
mu+sig,2,1024,4,0,0.0004376888250311,0.0008447257280349,9.271649778384016e-07,6263,stopping_threshold
mu+sig,2,1024,4,1,0.0004500595827897,0.00089433435599,8.851875081745675e-07,7949,stopping_threshold
mu+sig,2,1024,4,2,0.0003675339793165,0.0007477246522903,8.986218449535954e-07,5656,stopping_threshold
mu+sig,2,1024,8,0,0.0003792163754502,0.0007425291935602,9.532743019917689e-07,4958,stopping_threshold
mu+sig,2,1024,8,1,0.0003756721864144,0.0007205360730489,8.437211113232479e-07,4113,stopping_threshold
mu+sig,2,1024,8,2,0.0037877232432365,0.0073974095582962,1.353775168536231e-05,8000,max_epochs
mu+sig+eps,3,128,0,0,0.3147195040384928,0.5322621383666992,0.3997998280525207,8000,max_epochs
mu+sig+eps,3,128,0,1,0.3143973642985026,0.5359236170450846,0.3891194579601288,8000,max_epochs
mu+sig+eps,3,128,0,2,0.3170391324361165,0.5332172470092773,0.3814452946186065,8000,max_epochs
mu+sig+eps,3,128,1,0,0.0058251891533533,0.009921460310618,0.0001459118494531,8000,max_epochs
mu+sig+eps,3,128,1,1,0.0077345388730367,0.0142580482165018,0.0002724514724686,8000,max_epochs
mu+sig+eps,3,128,1,2,0.0059422558148701,0.0103342776695887,0.0001417880128137,8000,max_epochs
mu+sig+eps,3,128,2,0,0.0037270763119061,0.0073959358135859,9.953776601469144e-05,8000,max_epochs
mu+sig+eps,3,128,2,1,0.0041112683415412,0.0086482818921407,2.080581520567648e-05,8000,max_epochs
mu+sig+eps,3,128,2,2,0.0015792940457661,0.0027126323978106,5.437754197919276e-05,8000,max_epochs
mu+sig+eps,3,128,3,0,0.0004905699739853,0.0008484292229016,9.482626537646866e-07,4662,stopping_threshold
